"('OVERALL', 'REB')","('OVERALL', 'OREB')","('OVERALL', 'DREB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'REB_FREQ')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'REB_FREQ')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'REB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'DREB')","('0-3 Feet', 'REB_FREQ')","('3-6 Feet', 'REB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'DREB')","('3-6 Feet', 'REB_FREQ')",PLAYER_ID,SEASON,TEAM_ID,"('6-10 Feet', 'REB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'DREB')","('6-10 Feet', 'REB_FREQ')","('10+ Feet', 'REB')","('10+ Feet', 'OREB')","('10+ Feet', 'DREB')","('10+ Feet', 'REB_FREQ')"
107,32,75,31,76,76.0,16.0,60.0,0.71,23.0,9.0,14.0,0.215,8.0,7.0,1.0,0.075,16.0,8.0,8.0,0.15,40.0,9.0,31.0,0.374,1629611,2024-25,1610612746,34.0,7.0,27.0,0.318,17.0,8.0,9.0,0.159
241,56,185,75,166,166.0,25.0,141.0,0.689,59.0,20.0,39.0,0.245,16.0,11.0,5.0,0.066,62.0,17.0,45.0,0.257,96.0,15.0,81.0,0.398,1629611,2020-21,1610612746,45.0,13.0,32.0,0.187,37.0,11.0,26.0,0.154
416,101,315,122,294,294.0,49.0,245.0,0.707,112.0,43.0,69.0,0.269,10.0,9.0,1.0,0.024,129.0,32.0,97.0,0.31,167.0,30.0,137.0,0.401,1629611,2021-22,1610612746,61.0,10.0,51.0,0.147,58.0,29.0,29.0,0.139
276,77,199,89,187,187.0,32.0,155.0,0.678,74.0,32.0,42.0,0.268,15.0,13.0,2.0,0.054,82.0,26.0,56.0,0.297,79.0,20.0,59.0,0.286,1629611,2022-23,1610612746,56.0,5.0,51.0,0.203,59.0,26.0,33.0,0.214
251,86,165,77,174,174.0,43.0,131.0,0.693,67.0,36.0,31.0,0.267,10.0,7.0,3.0,0.04,63.0,29.0,34.0,0.251,89.0,26.0,63.0,0.355,1629611,2023-24,1610612746,50.0,9.0,41.0,0.199,49.0,22.0,27.0,0.195
55,10,45,10,45,45.0,5.0,40.0,0.818,8.0,4.0,4.0,0.145,2.0,1.0,1.0,0.036,15.0,2.0,13.0,0.273,26.0,4.0,22.0,0.473,1629611,2019-20,1610612746,9.0,3.0,6.0,0.164,4.0,1.0,3.0,0.073
840,295,545,365,475,475.0,95.0,380.0,0.565,308.0,153.0,155.0,0.367,57.0,47.0,10.0,0.068,251.0,87.0,164.0,0.299,364.0,95.0,269.0,0.433,203991,2018-19,1610612745,142.0,56.0,86.0,0.169,82.0,57.0,25.0,0.098
466,173,293,238,228,228.0,46.0,182.0,0.489,198.0,92.0,106.0,0.425,40.0,35.0,5.0,0.086,154.0,71.0,83.0,0.33,186.0,54.0,132.0,0.399,203991,2024-25,1610612737,87.0,29.0,58.0,0.187,39.0,19.0,20.0,0.084
519,173,346,253,266,266.0,50.0,216.0,0.513,210.0,90.0,120.0,0.405,43.0,33.0,10.0,0.083,160.0,47.0,113.0,0.308,209.0,56.0,153.0,0.403,203991,2016-17,1610612745,97.0,39.0,58.0,0.187,53.0,31.0,22.0,0.102
896,292,604,429,467,467.0,68.0,399.0,0.521,350.0,159.0,191.0,0.391,79.0,65.0,14.0,0.088,306.0,131.0,175.0,0.342,381.0,84.0,297.0,0.425,203991,2020-21,1610612737,148.0,48.0,100.0,0.165,59.0,27.0,32.0,0.066
874,276,598,364,510,510.0,84.0,426.0,0.584,291.0,127.0,164.0,0.333,73.0,65.0,8.0,0.084,295.0,122.0,173.0,0.338,386.0,87.0,299.0,0.442,203991,2021-22,1610612737,143.0,39.0,104.0,0.164,50.0,28.0,22.0,0.057
