,PLAYER_ID,PLAYER,Height,Weight,Position,Draft Year
351,1626145,Tyus Jones,6-0,196,Guard,2015
352,203486,Mason Plumlee,7-0,254,Forward-Center,2013
353,1628420,Monté Morris,6-2,183,Guard,2017
354,201142,Kevin Durant,6-11,240,Forward,2007
355,1630703,Scoot Henderson,6-3,207,Guard,2023
356,1629014,Anfernee Simons,6-3,200,Guard,2018
357,1629028,Deandre Ayton,7-0,252,Center,2018
358,1629680,Matisse Thybulle,6-5,202,Guard-Forward,2019
359,1630625,Dalano Banton,6-8,203,Forward,2021
360,1630166,Deni Avdija,6-8,228,Forward,2020
361,203924,Jerami Grant,6-7,213,Forward,2014
362,1631303,Justin Minaya,6-5,205,Forward,Undrafted
363,1631121,Bryce McGowens,6-6,190,Guard,2022
364,1631101,Shaedon Sharpe,6-5,210,Guard,2022
365,1641712,Rayan Rupert,6-7,205,Guard-Forward,2023
366,1642270,Donovan Clingan,7-2,280,Center,2024
367,1631200,Kris Murray,6-8,218,Forward,2023
368,1631321,Sidy Cissoko,6-6,220,Guard,2023
369,1641871,Duop Reath,6-9,245,Center,Undrafted
370,1641739,Toumani Camara,6-7,230,Forward,2023
371,1631133,Jabari Walker,6-7,237,Forward,2022
372,1629057,Robert Williams III,6-9,249,Center-Forward,2018
373,1628370,Malik Monk,6-3,200,Guard,2017
374,1629056,Terence Davis,6-4,201,Guard,Undrafted
375,1642403,Isaac Jones,6-8,245,Forward,Undrafted
376,203926,Doug McDermott,6-7,225,Forward,2014
377,203897,Zach LaVine,6-5,200,Guard,2014
378,201942,DeMar DeRozan,6-6,220,Guard-Forward,2009
379,1627734,Domantas Sabonis,6-10,240,Forward-Center,2016
380,1631099,Keegan Murray,6-8,225,Forward,2022
381,1630222,Mason Jones,6-4,200,Guard,Undrafted
382,202685,Jonas Valančiūnas,6-11,265,Center,2011
383,1628365,Markelle Fultz,6-4,209,Guard,2017
384,1642269,Devin Carter,6-2,195,Guard,2024
385,1631165,Keon Ellis,6-4,175,Guard,Undrafted
386,1642384,Isaiah Crawford,6-6,220,Forward,Undrafted
387,1631222,Jake LaRavia,6-7,235,Forward,2022
388,1626168,Trey Lyles,6-9,234,Forward,2015
389,203109,Jae Crowder,6-6,235,Forward,2012
390,1629640,Keldon Johnson,6-6,220,Forward-Guard,2019
391,1641705,Victor Wembanyama,7-4,235,Forward-Center,2023
392,101108,Chris Paul,6-0,175,Guard,2005
393,1628368,De'Aaron Fox,6-3,185,Guard,2017
394,1642264,Stephon Castle,6-6,215,Guard,2024
395,1630561,David Duke Jr.,6-4,204,Guard,Undrafted
396,1631110,Jeremy Sochan,6-8,230,Forward,2022
397,1629162,Jordan McLaughlin,5-11,185,Guard,Undrafted
398,1631104,Blake Wesley,6-4,190,Guard,2022
399,202687,Bismack Biyombo,6-8,255,Center,2011
400,1631103,Malaki Branham,6-4,180,Forward,2022
401,1630170,Devin Vassell,6-5,200,Guard-Forward,2020
402,1642434,Riley Minix,6-7,230,Forward,Undrafted
403,1629646,Charles Bassey,6-10,230,Center-Forward,2021
404,1630577,Julian Champagnie,6-7,217,Forward,Undrafted
405,203084,Harrison Barnes,6-7,225,Forward,2012
406,1630572,Sandro Mamukelashvili,6-9,240,Forward-Center,2021
407,1631127,Harrison Ingram,6-5,230,Forward,2024
408,1628983,Shai Gilgeous-Alexander,6-6,195,Guard,2018
409,1641794,Dillon Jones,6-5,235,Forward,2024
410,1629652,Luguentz Dort,6-4,220,Guard,Undrafted
411,1631119,Jaylin Williams,6-9,240,Forward,2022
412,1631096,Chet Holmgren,7-1,208,Center-Forward,2022
413,1631114,Jalen Williams,6-5,211,Guard-Forward,2022
414,1627936,Alex Caruso,6-5,186,Guard,Undrafted
