PLAYER_ID,SEASON,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
201150,2018-19,0.0,0.0,0.0,0.0,0.0,0.0
201152,2015-16,1.0,5.86,12.34,0.475,0.459,0.016
201152,2016-17,1.0,5.01,11.48,0.437,0.461,-0.025
201152,2017-18,1.0,6.4,13.74,0.465,0.467,-0.002
201152,2018-19,1.0,5.63,12.42,0.453,0.468,-0.014
201152,2019-20,1.0,5.2,11.28,0.461,0.464,-0.003
201152,2020-21,1.0,5.35,10.96,0.489,0.476,0.013
201152,2021-22,1.0,4.02,8.14,0.494,0.47,0.024
201152,2022-23,1.0,3.7,6.53,0.566,0.491,0.076
201152,2023-24,1.0,3.19,6.38,0.5,0.485,0.015
201156,2015-16,1.0,2.74,5.35,0.512,0.443,0.069
201156,2016-17,1.0,3.82,7.47,0.511,0.448,0.064
201156,2017-18,1.0,2.59,5.63,0.46,0.442,0.018
201156,2018-19,1.0,1.67,3.33,0.5,0.425,0.076
201162,2015-16,1.0,4.33,9.58,0.452,0.45,0.002
201162,2016-17,1.0,3.8,8.63,0.44,0.461,-0.021
201162,2017-18,1.0,2.96,5.84,0.506,0.46,0.045
201162,2018-19,1.0,3.68,8.32,0.442,0.462,-0.02
201162,2019-20,1.0,1.97,4.46,0.442,0.455,-0.012
201162,2020-21,1.0,1.45,3.18,0.457,0.442,0.015
201163,2016-17,1.0,5.11,11.81,0.433,0.46,-0.027
201163,2017-18,1.0,4.66,10.27,0.454,0.46,-0.006
201163,2018-19,1.0,3.55,8.27,0.43,0.454,-0.024
201163,2019-20,1.0,3.63,8.51,0.426,0.456,-0.03
201188,2015-16,1.0,5.31,12.06,0.44,0.478,-0.037
201188,2016-17,1.0,5.28,11.46,0.461,0.481,-0.02
201188,2017-18,1.0,6.67,15.18,0.44,0.48,-0.041
201188,2018-19,1.0,6.37,14.46,0.44,0.481,-0.04
201188,2019-20,1.0,6.32,13.75,0.46,0.478,-0.018
201188,2020-21,1.0,5.38,11.23,0.479,0.488,-0.008
201563,2015-16,1.0,3.53,7.68,0.459,0.449,0.01
201563,2016-17,1.0,3.02,6.4,0.472,0.452,0.02
201563,2017-18,1.0,4.08,8.59,0.475,0.463,0.012
201563,2018-19,1.0,2.24,4.8,0.467,0.445,0.022
201564,2015-16,1.0,2.88,7.1,0.405,0.44,-0.034
201565,2015-16,1.0,4.45,9.76,0.457,0.444,0.013
201565,2016-17,1.0,4.48,10.53,0.426,0.447,-0.021
201565,2017-18,1.0,3.36,6.52,0.515,0.457,0.059
201565,2018-19,1.0,4.8,10.96,0.438,0.445,-0.007
201565,2019-20,1.0,4.14,9.35,0.443,0.449,-0.006
201565,2020-21,1.0,4.04,9.4,0.43,0.453,-0.023
201565,2021-22,1.0,3.58,9.58,0.373,0.448,-0.074
201565,2022-23,1.0,2.15,5.07,0.423,0.457,-0.034
201565,2023-24,1.0,2.92,5.17,0.565,0.461,0.104
201566,2015-16,1.0,3.44,7.44,0.462,0.447,0.015
201566,2016-17,1.0,3.58,7.36,0.486,0.452,0.033
201566,2017-18,1.0,4.92,10.18,0.484,0.459,0.025
201566,2018-19,1.0,4.9,10.72,0.457,0.452,0.006
201566,2019-20,1.0,4.91,10.72,0.458,0.454,0.005
201566,2020-21,1.0,5.22,11.28,0.463,0.465,-0.003
201566,2021-22,1.0,5.28,10.68,0.495,0.462,0.033
201566,2022-23,1.0,4.4,9.81,0.448,0.474,-0.025
201566,2023-24,1.0,3.15,7.22,0.436,0.465,-0.03
201566,2024-25,1.0,3.71,8.0,0.463,0.462,0.001
201567,2015-16,1.0,6.68,13.35,0.5,0.465,0.035
201567,2016-17,1.0,6.38,13.53,0.472,0.463,0.009
201567,2017-18,1.0,6.75,13.14,0.514,0.478,0.036
201567,2018-19,1.0,4.95,11.32,0.438,0.464,-0.026
201567,2019-20,1.0,7.2,13.98,0.515,0.473,0.042
201567,2020-21,1.0,5.58,10.67,0.523,0.478,0.046
