PLAYER_ID,SEASON,TEAM_ID,"('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'DREB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'REB')","('0-3 Feet', 'REB_FREQ')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'REB_FREQ')","('10+ Feet', 'DREB')","('10+ Feet', 'OREB')","('10+ Feet', 'REB')","('10+ Feet', 'REB_FREQ')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'REB_FREQ')","('3-6 Feet', 'DREB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'REB')","('3-6 Feet', 'REB_FREQ')","('6-10 Feet', 'DREB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'REB')","('6-10 Feet', 'REB_FREQ')","('OVERALL', 'DREB')","('OVERALL', 'OREB')","('OVERALL', 'REB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')"
1630550,2021-22,1610612766.0,26.0,10.0,36.0,0.837,2.0,1.0,3.0,0.07,5.0,1.0,6.0,0.14,2.0,4.0,6.0,0.14,1.0,0.0,1.0,0.023,12.0,1.0,13.0,0.302,16.0,5.0,21.0,0.488,32,11,43,7,36
1630550,2022-23,1610612766.0,80.0,13.0,93.0,0.628,13.0,7.0,20.0,0.135,32.0,14.0,46.0,0.311,19.0,9.0,28.0,0.189,2.0,7.0,9.0,0.061,34.0,12.0,46.0,0.311,48.0,6.0,54.0,0.365,114,34,148,55,93
1630550,2023-24,1610612766.0,71.0,15.0,86.0,0.61,15.0,9.0,24.0,0.17,28.0,26.0,54.0,0.383,21.0,13.0,34.0,0.241,0.0,1.0,1.0,0.007,33.0,8.0,41.0,0.291,30.0,12.0,42.0,0.298,99,42,141,55,86
1630550,2024-25,0.0,20.0,6.0,26.0,0.777,2.0,3.0,5.0,0.122,6.0,13.0,19.0,1.174,6.0,5.0,11.0,0.41100000000000003,1.0,1.0,2.0,0.049,7.0,8.0,15.0,0.65,12.0,4.0,16.0,0.817,27,20,47,21,26
1630551,2021-22,1610612761.0,23.0,10.0,33.0,0.458,6.0,10.0,16.0,0.222,12.0,24.0,36.0,0.5,3.0,8.0,11.0,0.153,0.0,3.0,3.0,0.042,19.0,10.0,29.0,0.403,7.0,9.0,16.0,0.222,35,37,72,39,33
1630551,2022-23,0.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,0.25,2.0,2.0,4.0,1.0,0.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.75,3.0,0.0,3.0,0.75,5,3,8,4,4
1630551,2023-24,1610612764.0,28.0,6.0,34.0,0.654,7.0,6.0,13.0,0.25,4.0,13.0,17.0,0.327,6.0,1.0,7.0,0.135,1.0,0.0,1.0,0.019,11.0,6.0,17.0,0.327,9.0,6.0,15.0,0.288,33,19,52,18,34
1630551,2024-25,1610612764.0,169.0,47.0,216.0,0.619,56.0,43.0,99.0,0.284,67.0,53.0,120.0,0.344,23.0,20.0,43.0,0.123,1.0,12.0,13.0,0.037,107.0,33.0,140.0,0.401,51.0,16.0,67.0,0.192,237,112,349,133,216
1630552,2021-22,1610612737.0,17.0,1.0,18.0,0.692,10.0,0.0,10.0,0.385,6.0,1.0,7.0,0.269,0.0,1.0,1.0,0.038,1.0,0.0,1.0,0.038,11.0,1.0,12.0,0.462,3.0,0.0,3.0,0.115,24,2,26,8,18
1630552,2022-23,1610612737.0,172.0,18.0,190.0,0.676,64.0,19.0,83.0,0.295,55.0,29.0,84.0,0.299,11.0,10.0,21.0,0.075,3.0,4.0,7.0,0.025,113.0,13.0,126.0,0.448,42.0,9.0,51.0,0.181,230,51,281,91,190
