ALL_STAR_ID,ALL_STAR_NAME,GROUP_ID,GROUP_NAME,LINEUP_ARCHETYPE,SEASON
2544,LeBron James,2544-2747-101181-201567-1626204,L. James - J. Smith - J. Calderon - K. Love - L. Nance Jr.,All Around Guard-Movement Shooter-Rim Runner/Protector-Stretch Big,2017-18
2544,LeBron James,2544-2747-101181-202684-203903,L. James - J. Smith - J. Calderon - T. Thompson - J. Clarkson,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2017-18
2544,LeBron James,2544-2747-201145-202738-203109,L. James - J. Smith - J. Green - I. Thomas - J. Crowder,All Around Guard-All Around Guard-Glue guy-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201145-202684-202738,L. James - J. Smith - J. Green - T. Thompson - I. Thomas,All Around Guard-All Around Guard-Rim Runner/Protector-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-101112-101181-203109,L. James - K. Korver - C. Frye - J. Calderon - J. Crowder,Glue guy-Movement Shooter-Movement Shooter-Stretch Big,2017-18
2544,LeBron James,2544-2594-101112-101181-201145,L. James - K. Korver - C. Frye - J. Calderon - J. Green,Movement Shooter-Movement Shooter-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-201145-203918-1626204,L. James - K. Korver - J. Green - R. Hood - L. Nance Jr.,All Around Guard-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-2747-201567-1626224,L. James - K. Korver - J. Smith - K. Love - C. Osman,All Around Guard-Glue guy-Movement Shooter-Stretch Big,2017-18
2544,LeBron James,2544-2548-201145-202684-1626224,L. James - D. Wade - J. Green - T. Thompson - C. Osman,Glue guy-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-2548-2747-201565-203109,L. James - D. Wade - J. Smith - D. Rose - J. Crowder,All Around Guard-Glue guy-Glue guy-Shot Creator Guard,2017-18
2544,LeBron James,2544-2548-2594-201567-202684,L. James - D. Wade - K. Korver - K. Love - T. Thompson,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Stretch Big,2017-18
2544,LeBron James,2544-2548-201567-202684-203109,L. James - D. Wade - K. Love - T. Thompson - J. Crowder,Glue guy-Rim Runner/Protector-Shot Creator Guard-Stretch Big,2017-18
2544,LeBron James,2544-201588-203918-1626204-1626224,L. James - G. Hill - R. Hood - L. Nance Jr. - C. Osman,All Around Guard-Glue guy-Rim Runner/Protector-Shot Creator Guard,2017-18
2544,LeBron James,2544-101181-201145-201567-203109,L. James - J. Calderon - J. Green - K. Love - J. Crowder,Glue guy-Movement Shooter-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-101181-201567-202684-203109,L. James - J. Calderon - K. Love - T. Thompson - J. Crowder,Glue guy-Movement Shooter-Rim Runner/Protector-Stretch Big,2017-18
